description,type,source,fee,feePayer,signature,slot,timestamp,formattedTimestamp
"7qsV2DsKEL5RcKnuXnMqncNNXwDU1ksbp4xcSeJoAZYq transferred a total 0.302788374 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,165574,7qsV2DsKEL5RcKnuXnMqncNNXwDU1ksbp4xcSeJoAZYq,3JBC4nMozG9zVb4RjX2MCH7j1v8JjCpdyvz66rSsZVj5VAw9UYgRkgHLzQP9pc6gBPE2m47bz2n7i6uzUix9cDvx,340417811,1747407021,2025-05-16T14:50:21.000Z
"E7C47Licmy2FXV4ZQVBHhooRPG6iS4nZhR7p11vq7ZUS transferred a total 0.305071254 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,165574,E7C47Licmy2FXV4ZQVBHhooRPG6iS4nZhR7p11vq7ZUS,29XvnfQeLc5V7CzhhBcjU4yr8TjYeezaA2sVKcFZG9gjyQSb4gU4PD8kpPCnSjMknBfAmTP7hEvzFsetbtXUSDFK,340417680,1747406969,2025-05-16T14:49:29.000Z
"E7C47Licmy2FXV4ZQVBHhooRPG6iS4nZhR7p11vq7ZUS transferred a total 0.302788374 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,165574,E7C47Licmy2FXV4ZQVBHhooRPG6iS4nZhR7p11vq7ZUS,25P4ofXjCzgX2K1oCjAXjwaaVMHYqwq4BsVawSrWYnwC8rbV55q8RTdL7ameJ8N8CfokDXbzcMbTuJ7CQGQnsNSp,340417680,1747406969,2025-05-16T14:49:29.000Z
"4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe transferred a total 0.302743765 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,120965,4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe,2un3wt7KpDqBUwn9WwjRvncay1sMcmejqDtEyRhPbDdCuPGcpxw6cGt1Ki3zrY9wnmKfrTkMgw9xPk7grjKgu3gN,340416882,1747406654,2025-05-16T14:44:14.000Z
"4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe transferred a total 0.305026645 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,120965,4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe,27dct45wB5wVrYdEUWfrMMFqzXFJWuXKnsdjRG1D6Zk8vpu5SuqXt69jiJFVcUW6Czoe9Zm1Y6pNjAivpR4Z7PRk,340416880,1747406653,2025-05-16T14:44:13.000Z
"4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe transferred a total 0.302743765 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,120965,4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe,ZoLcVuK7UYDTJoCEBDEext3SdTDbkhpxRi2iW3LwRTAsG95kgd2CSjk4yYA3RksCiPUKMmLAW9Dx7bbhQveg88p,340416880,1747406653,2025-05-16T14:44:13.000Z
"4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe transferred a total 0.302743765 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,120965,4WhaWvoBBeAtoCMrtMLqN6jvjE6SHeeuThb87nP3Kvoe,4CUeXMFe2u55HXRhHSqonNaWTwhoSLMfwZtp3A66WAZv14U7FWfq27gx35bojMXXxJjyiHCTNLWKr3hdniSS1ooo,340416880,1747406653,2025-05-16T14:44:13.000Z
"7gKDw4iJWWNv3QGzsXbcbkSukQhVfex6rF3vV5bvEvk5 transferred a total 0.302758699 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,135899,7gKDw4iJWWNv3QGzsXbcbkSukQhVfex6rF3vV5bvEvk5,2Zpi3pEGpXZ91LGDLDBW5k2QKFTTtTaFmZCymjrvT8rDae7Yrifz6QRrEwEBnj6gMAwApLp5Rfninyscdtyjzfwn,340416808,1747406625,2025-05-16T14:43:45.000Z
"9LGCuEVrhTj4456W9ew832swP4WF4WKcmLfk9nhCtp9j transferred a total 0.3026388 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,16000,9LGCuEVrhTj4456W9ew832swP4WF4WKcmLfk9nhCtp9j,3QDsCXfxnv2Aag1mALSC8koRviJVXuwPN8cVjx9PoBZus98dCz2GtTH9tJMLLoV8v2jDb9P8Ev3kgXH2Zw5obfeX,340415972,1747406285,2025-05-16T14:38:05.000Z
"Dy4YQ7QD5CPYsWS7xDcWcedg4sV3JsgArXiJ7GvcVS2H transferred a total 0.3049741 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,68420,Dy4YQ7QD5CPYsWS7xDcWcedg4sV3JsgArXiJ7GvcVS2H,2isGELrPL1889SZQH8jpEKgWSc6mzqTEsREx1kX7r1wth8eD6s1tFRLRp9xDdZqMA1KZtt6kgQbCHZErMuMNgfSU,340415830,1747406229,2025-05-16T14:37:09.000Z
"7ky8Y8MgML67LcUWrKPeu9oAY4p3Dbb2z529UEhiratT transferred a total 0.30496451 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,58830,7ky8Y8MgML67LcUWrKPeu9oAY4p3Dbb2z529UEhiratT,28sBCza2tezhfQNFrZ65XK89sKfnaGoHCs1VfTiBz72CrhUt8wNovg4ZpeTu2f2GhoLVmXdLSLWKZr9aBwn1g314,340415272,1747406009,2025-05-16T14:33:29.000Z
"BhMgxnWjLgtgTcAWqmb1EMAo3LiwCu61VVMaCCaUKJKd transferred a total 0.302721428 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,98628,BhMgxnWjLgtgTcAWqmb1EMAo3LiwCu61VVMaCCaUKJKd,3iMyVFZVb4SrEWfDuxtkfkHQMSNHS2VJjde4fX2ANToA6BbD4ctokDWE4q44rYD3rPBV7F4CukiymQCoDeNZdUYz,340414981,1747405894,2025-05-16T14:31:34.000Z
"BhMgxnWjLgtgTcAWqmb1EMAo3LiwCu61VVMaCCaUKJKd transferred a total 0.302721428 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,98628,BhMgxnWjLgtgTcAWqmb1EMAo3LiwCu61VVMaCCaUKJKd,3g6H4c6UprfgVwyroV6Sui8uWMCStNrKVdkg5LPZqvxZFXJiz7ZHSpPp5S21vPJCb553u3ctosJExzBHdKcdqntD,340414980,1747405893,2025-05-16T14:31:33.000Z
"Ay6pCRkxa6E12J5NFL2inFXumpnQFm518dgesvTUxtix transferred a total 0.302724718 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,101918,Ay6pCRkxa6E12J5NFL2inFXumpnQFm518dgesvTUxtix,2A63S85JGkbphh5TYGPcVpAhiNWv2d2BJ4K4udt8uyw8qp99cZPn2vM1ZkxzDXkKuCP7DUNH6w77bFwaM12Y6Yds,340414739,1747405799,2025-05-16T14:29:59.000Z
"Ay6pCRkxa6E12J5NFL2inFXumpnQFm518dgesvTUxtix transferred a total 0.305007598 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,101918,Ay6pCRkxa6E12J5NFL2inFXumpnQFm518dgesvTUxtix,4zs7gVqaYNwbgnG2xeLbwMpmWyh3N2jovF14UXt4JeKTs9mfh152E3mYpSS4qeZCjyesJHS3bioA1B5KZf4g11dC,340414738,1747405798,2025-05-16T14:29:58.000Z
"2UB9YXpDqSz7RDYTATBhKy8FwtmYTYVTrPuQGFnvhsyP transferred a total 0.302677907 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,55107,2UB9YXpDqSz7RDYTATBhKy8FwtmYTYVTrPuQGFnvhsyP,3XHMuuSWGY9V2BvhgFPK7FTq7hXSaCinpEN847pHQ8a5QsHoph39qp8C3PscQTkAhKtCtVcgeojrnnNKnUbVkq2F,340413741,1747405406,2025-05-16T14:23:26.000Z
"2UB9YXpDqSz7RDYTATBhKy8FwtmYTYVTrPuQGFnvhsyP transferred a total 0.304960787 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,55107,2UB9YXpDqSz7RDYTATBhKy8FwtmYTYVTrPuQGFnvhsyP,2HyNk3oh3qorWVqKL4CfAkMLWnu66ijaZZo1LV3L9cQxrHrPDjfmW2hoihMQ3VZPLueYwBG9nDBZcb5uyQYNEBYc,340413640,1747405366,2025-05-16T14:22:46.000Z
"89nES8Eyc4RyAcvLMk1u9KQGCxC2s6NQhy9aDYNfDi2L transferred a total 0.302718273 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,95473,89nES8Eyc4RyAcvLMk1u9KQGCxC2s6NQhy9aDYNfDi2L,3k4uz8wGfLdZQawERW8XPwr6qMVWHVVaX98Vv8gzaBHRKLnCgtUFaznoKhrgMzA68xEYcTSWdom9HSwAvXbLeAaC,340413426,1747405283,2025-05-16T14:21:23.000Z
"AnMESUfZGrMu3KuKFFm1VDZZvcSP1nCw3vYNG8YtmBqk transferred a total 0.302672452 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,49652,AnMESUfZGrMu3KuKFFm1VDZZvcSP1nCw3vYNG8YtmBqk,3RTAhf47xhMk65hJNXH5n6X9TbXhCaBqzYDK79KKNmGX2J2vyurLXTC4eQZSGVPL9tAVxyShFoT7gp5ykQzsnj5w,340413007,1747405117,2025-05-16T14:18:37.000Z
"AVrpNau2Rdsi4dSNyYGAycWiNVpJmTUoLjM7fb9c4STN transferred a total 0.302720327 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,97527,AVrpNau2Rdsi4dSNyYGAycWiNVpJmTUoLjM7fb9c4STN,YpoUpjb7SiuxmjyPtXzbxXGhfBsC3jnqj4MEvdWpDAYfN6yrq8F4WsmGXk1RWvEtMFdz236xFGzmGeUYYo61K1q,340412576,1747404946,2025-05-16T14:15:46.000Z
